state,schoolName,campus,nsaCert,programName,programUrl
"Alabama","Auburn University at Montgomery","Montgomery, Alabama","","Master of Science in Computer Information Systems & Cybersecurity","http://sciences.aum.edu/academic-programs/graduate-programs/master-of-cybersystems-and-information-security"
"Alabama","Auburn University","Auburn University, Alabama","NSACAE","Master of Science in Cybersecurity Engineering","http://www.eng.auburn.edu/comp/academics/graduate/current-graduate-students/ms-cybersecurity-engineering.html"
"Alabama","Columbia Southern University","Orange Beach, Alabama","","Online Bachelor of Science in Information Systems and Cyber Security","https://www.columbiasouthern.edu/online-degree/safety-emer-services/bs-information-systems-and-cyber-security"
"Alabama","Jacksonville State University","Jacksonville, Alabama","NSACAE","Bachelor of Science in Computer Science – Information Assurance","http://www.jsu.edu/mcis/programs.html"
"Alabama","Jacksonville State University","Jacksonville, Alabama","NSACAE","MS in Computer Systems and Software Design – Information Security and Assurance Concentration","http://www.jsu.edu/online/current-students/guide_online_students.html"
"Alabama","John C Calhoun State Community College","Tanner, Alabama","NSACAE","CIS AAS Degree in Cybersecurity","https://calhoun.edu/business-cis/center-for-cybersecurity-education/"
"Alabama","Northeast Alabama Community College","Rainsville, Alabama","NSACAE","Certificate in Computer Information Systems – Security+","https://www.nacc.edu/programs-of-study/business-and-computer-science-division/computer-science-department"
"Alabama","The University of Alabama","Tuscaloosa, Alabama","NSACAE","Minor in Cyber Criminology","https://cybercrime.as.ua.edu/cyber-ua/cyber-criminology-minor/"
"Alabama","Troy University","Troy, Alabama","","Online Cyber Security Certificate Program","https://www.troy.edu/academics/academic-programs/criminal-justice-digital-forensics-certificate.html"
"Alabama","Tuskegee University","Tuskegee, Alabama","NSACAE","BS in Information Technology – Network Administration/Security","https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/information-technology-major"
"Alabama","Tuskegee University","Tuskegee, Alabama","NSACAE","Master of Science in Information Systems and Security Management","https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/graduate-program"
"Alabama","University of Alabama at Birmingham","Birmingham, Alabama","NSACAE","Certificate in Computer Forensics","https://www.uab.edu/cas/computerscience/"
"Alabama","University of Alabama at Birmingham","Birmingham, Alabama","NSACAE","Computer Forensics Certicate Program","https://www.uab.edu/cas/criminaljustice/"
"Alabama","University of Alabama at Birmingham","Birmingham, Alabama","NSACAE","M.S. in Cyber Security","https://www.uab.edu/cas/computerscience/graduate-programs/masters-programs/ms-cyber-security"
"Alabama","University of Alabama at Birmingham","Birmingham, Alabama","NSACAE","Online Master of Science in Management Information Systems – Cyber Security Management","https://businessdegrees.uab.edu/mis-degree-masters/"
"Alabama","University of Alabama in Huntsville","Huntsville, Alabama","","Bachelor of Science in Cybersecurity","https://www.uah.edu/eng/departments/ece/programs/undergraduate/cybersecurity"
"Alabama","University of Alabama in Huntsville","Huntsville, Alabama","","Master of Science in Cybersecurity","https://www.uah.edu/business//grad/degrees/mscbs"
"Alaska","University of Alaska Fairbanks","Fairbanks, Alaska","NSACAE","Information Technology – Network and Cybersecurity AAS","https://www.ctc.uaf.edu/programs/information-technology/"
"Alaska","University of Alaska Southeast","Juneau, Alaska","","Healthcare Privacy & Security Certificate","http://catalog.uas.alaska.edu/certificate-degree-programs/certificates/healthcare-privacy-security-certificate/#text"
"Arizona","Arizona State University","Tempe, Arizona","NSACAE","B.S.E. in Computer Systems Engineering – Cybersecurity","https://cidse.engineering.asu.edu/computer-systems-engineering/"
